"From","To"
"2264753273","2530030025"
"2595155453","2057789237"
"1965031954","2586434103"
"1965031954","2510513839"
"1965031954","2049356931"
"1965031954","2030796475"
"1965031954","2014077266"
"1965031954","1982657779"
"1965031954","102077455"
"2537761553","2800179176"
"2537761553","2797204405"
"2537761553","2792577781"
"2537761553","2773932649"
"2537761553","2753967937"
"2537761553","2654802362"
"2537761553","2598510155"
"2088415622","2142297993"
"2088415622","2106104110"
"2088415622","2102033584"
"2088415622","2085672758"
"2088415622","2073760991"
"2088415622","1982133879"
"2049892906","2726183150"
"2049892906","2705095507"
"2049892906","2552012934"
"2049892906","2550706999"
"2049892906","2265315484"
"2049892906","2264410607"
"2049892906","2209751198"
"2049892906","2070619645"
"2049892906","2038587279"
"2049892906","1988609313"
"2049892906","1981927413"
"2049892906","1980043784"
"2049892906","1490734889"
"2058246666","2896287836"
"2058246666","1725120370"
"1967896143","2808646405"
"1967896143","2552865176"
"1967896143","2528525856"
"1967896143","2263234643"
"1967896143","2211890506"
"1967896143","2187587692"
"2087099199","2318402752"
"2087099199","2223904794"
"2087099199","2182484345"
"2087099199","2140071589"
"2087099199","2138137880"
"2087099199","2120456414"
"2087099199","2073603878"
"2087099199","1996679810"
"2087099199","1957576144"
"2092577992","2897537430"
"2092577992","2414827608"
"2092577992","2304313248"
"2092577992","2086793530"
"2092577992","2058235471"
"2092577992","2055251204"
"2092577992","1561420229"
"2016650490","2618839780"
"2016650490","2561495171"
"2016650490","2561367966"
"2016650490","2279933594"
"2016650490","2091236237"
"2016650490","2048033965"
"2016650490","1893400159"
"2016650490","1563043153"
"2016650490","295277147"
"2023277333","2111039184"
"2023277333","2079985155"
"2023277333","2066651758"
"2581977493","2907403287"
"2581977493","2905221825"
"2581977493","2902931684"
"2581977493","2588698840"
"2581977493","2521984931"
"2022442393","2898136449"
"2022442393","2893478686"
"2022442393","2794049150"
"2022442393","2763016373"
"2022442393","2728153594"
"2022442393","2590126804"
"2022442393","2557120072"
"2022442393","2552865176"
"2022442393","2519653450"
"2022442393","2400160693"
"2022442393","2306023980"
"2022442393","2231201268"
"2022442393","2154886364"
"2022442393","2144104568"
"2189978931","2550087663"
"1997980537","2792220932"
"1997980537","2604127571"
"1997980537","2598885431"
"1997980537","2585443287"
"1997980537","2571946971"
"1997980537","2498755976"
"1997980537","2020966539"
"2032245920","2897508718"
"2032245920","2803993843"
"2032245920","2758042890"
"2032245920","2625034186"
"2032245920","2548691736"
"2032245920","2496681633"
"2032245920","2186176977"
"2032245920","2162518704"
"2032245920","2129839431"
"2032245920","2090801588"
"2032245920","2072779977"
"2032245920","2028599680"
"2032245920","2009372684"
"2032245920","1992788515"
"2032245920","1985871872"
"2032245920","1974516800"
"2032245920","1552734403"
"2032245920","1536972959"
"2103324662","2742560082"
"2103324662","2732289013"
"2103324662","2677170573"
"2103324662","2492434965"
"2103324662","2173822147"
"2103324662","2168841956"
"2103324662","2151291873"
"2103324662","2148069267"
"2103324662","2143043008"
"2103324662","2107137473"
"2103324662","2092391499"
"2103324662","2065008280"
"2103324662","2026398709"
"2103324662","2020284581"
"2103324662","2001390042"
"2103324662","1970193284"
"2103324662","59349635"
"1583429345","2903419529"
"1583429345","2896529804"
"1583429345","2785598616"
"1583429345","2770314051"
"1583429345","2768718389"
"1583429345","2620774009"
"1583429345","2616469672"
"1583429345","2615842672"
"1583429345","2605781715"
"1583429345","2586949809"
"1583429345","2563917395"
"1583429345","2507562257"
"1583429345","2496996309"
"1583429345","2300567572"
"1583429345","2288090628"
"2075802998","2803900225"
"2075802998","2764041423"
"2075802998","2763367780"
"2075802998","2763226615"
"2075802998","2762424289"
"2075802998","2762056649"
"2075802998","2761817033"
"2075802998","2582351269"
"2075802998","2577842110"
"2075802998","2569739110"
"2075802998","2523560474"
"2075802998","2493646798"
"2075802998","2470484508"
"2075802998","2215555262"
"2075802998","1968847543"
"2754461217","2905915613"
"2754461217","2891601088"
"2754461217","2888173901"
"2754461217","2806227746"
"2754461217","2786310747"
"2754461217","2774011761"
"2754461217","2737988770"
"2082081686","2904801760"
"2082081686","2888675677"
"2082081686","2807888179"
"2082081686","2806980402"
"2082081686","2803543889"
"2082081686","2785598616"
"2082081686","2749291387"
"2082081686","2749204026"
"2082081686","2613928526"
"2082081686","2612430136"
"2082081686","2604286805"
"2082081686","2552865176"
"2082081686","2507562257"
"2082081686","2473644846"
"2082081686","2470165006"
"2082081686","2337446942"
"2082081686","2292601727"
"2082081686","2288090628"
"2082081686","2254853223"
"2082081686","2187245578"
"2082081686","2187088035"
"2082081686","2185241759"
"2082081686","2183646648"
"2082081686","2171641508"
"2082081686","2165235748"
"2082081686","2163191314"
"2082081686","2147974533"
"2082081686","2147090504"
"2082081686","2134741357"
"2082081686","2132442097"
"2082081686","2129053699"
"2082081686","2103144377"
"2082081686","2098908673"
"2082081686","2096869410"
"2082081686","2095132760"
"2082081686","2093281168"
"2082081686","2091465442"
"2082081686","2091289096"
"2082081686","2071119603"
"2082081686","2070242399"
"2082081686","2068844935"
"2082081686","2059615508"
"2082081686","2056810166"
"2082081686","2050524575"
"2082081686","2049076011"
"2082081686","2042974200"
"2082081686","2018332993"
"2082081686","2001328319"
"2082081686","1986981419"
"2082081686","1966609137"
"2082081686","1811048012"
"2082081686","1708711912"
"2082081686","1588708291"
"2082081686","1567289176"
"2082081686","1492511362"
"2082081686","767067438"
"2082081686","333110272"
"2082081686","278893434"
"2136922469","2887229171"
"2136922469","2795860952"
"2136922469","2768506257"
"2136922469","2520427567"
"2136922469","2514287941"
"2136922469","2473369125"
"2136922469","2277805675"
"2136922469","2263342651"
"2136922469","2256002694"
"2136922469","2172934234"
"2136922469","2124106033"
"2136922469","2030192775"
"2136922469","767067438"
"2026990886","2771305949"
"2026990886","2484781924"
"2026990886","2419556781"
"2026990886","2203274755"
"2026990886","2173388148"
"2288017243","2906875032"
"2288017243","2789844661"
"2288017243","2528249687"
"1975424564","2159558929"
"2597349807","2887112427"
"2597349807","2805441999"
"2597349807","2790704403"
"1899769446","2112328516"
"1899769446","1945293811"
"1899769446","1620706534"
"2136264888","2842887116"
"2136264888","2810954480"
"2136264888","2803604931"
"2136264888","2791486125"
"2136264888","2760625318"
"2136264888","2745760135"
"2136264888","2744814181"
"2136264888","2623946130"
"2136264888","2602137957"
"2136264888","2509606383"
"2136264888","2506799117"
"2136264888","2500425743"
"2136264888","2499790222"
"2136264888","2498629683"
"2136264888","2487460280"
"2136264888","2462329167"
"2136264888","2414261561"
"2136264888","2399832723"
"2136264888","2354307759"
"2136264888","2312782345"
"2136264888","2264604578"
"2136264888","2216405710"
"2136264888","2182910040"
"2136264888","2179974249"
"2136264888","2159750215"
"2136264888","2156850025"
"2136264888","2156432498"
"2136264888","2153015728"
"2136264888","2152705944"
"2136264888","2151225687"
"2136264888","2147519657"
"2136264888","2142612734"
"2136264888","2140771924"
"2136264888","2140502974"
"2136264888","2133134660"
"2136264888","2131877738"
"2136264888","2131865015"
"2136264888","2131370026"
"2136264888","2119377441"
"2136264888","2117269329"
"2136264888","2116764182"
"2136264888","2114876512"
"2136264888","2098906507"
"2136264888","2096336486"
"2136264888","2094898550"
"2136264888","2093049011"
"2136264888","2087238585"
"2136264888","2087169815"
"2136264888","2085075160"
"2136264888","2084947344"
"2136264888","2080497488"
"2136264888","2079113247"
"2136264888","2077935784"
"2136264888","2077152634"
"2136264888","2070885076"
"2136264888","2068805667"
"2136264888","2060166865"
"2136264888","2054103186"
"2136264888","2053833676"
"2136264888","2047753869"
"2136264888","2039952341"
"2136264888","2036573071"
"2136264888","2036366801"
"2136264888","2033795921"
"2136264888","2024084981"
"2136264888","2024074588"
"2136264888","2017308232"
"2136264888","2014627824"
"2136264888","1998090864"
"2136264888","1986359194"
"2136264888","1984802802"
"2136264888","1984118858"
"2136264888","1982795272"
"2136264888","1981788927"
"2136264888","1979876045"
"2136264888","1967887850"
"2136264888","1967019112"
"2136264888","1931618548"
"2136264888","1919624513"
"2136264888","1897901596"
"2136264888","1837476313"
"2136264888","1822360538"
"2136264888","1812717912"
"2136264888","1597425162"
"2136264888","1581778694"
"2136264888","1528370171"
"2136264888","1520285702"
"2136264888","1518116543"
"2136264888","1491241880"
"2136264888","1482448593"
"2136264888","952128406"
"2136264888","396979485"
"2136264888","182603014"
"2136264888","152148025"
"2136264888","91251265"
"2136264888","4719102"
"2608852980","2897215433"
"2608852980","2889096250"
"2608852980","2884300126"
"2608852980","2883258842"
"2608852980","2808204922"
"2608852980","2803990926"
"2608852980","2803849854"
"2608852980","2798094593"
"2608852980","2793825656"
"2608852980","2786976528"
"2608852980","2770237240"
"2051165735","2889966708"
"2051165735","2487933544"
"2051165735","2163159606"
"2051165735","2135332121"
"2051165735","2097016900"
"2051165735","2060344813"
"2051165735","2050206616"
"2051165735","2048258202"
"2051165735","2041108394"
"2051165735","2037652301"
"2051165735","2034628979"
"2051165735","2015423126"
"2051165735","2003626043"
"2051165735","1967654962"
"2051165735","1516068682"
"2111290359","2616168490"
"2111290359","2552524762"
"2111290359","2521522791"
"2111290359","2517540558"
"2111290359","2303552218"
"2111290359","2289201745"
"2111290359","2288551401"
"2111290359","2281675664"
"2111290359","2260981645"
"2111290359","2165976972"
"2111290359","2157765548"
"2111290359","2091617119"
"2111290359","2081211478"
"2111290359","2061814298"
"2111290359","2054988762"
"2111290359","2004707704"
"2111290359","1997662477"
"2111290359","1992873183"
"2111290359","1970311971"
"2111290359","1942124826"
"2111290359","1895534173"
"2111290359","1754514306"
"2111290359","1711356358"
"2111290359","1663751027"
"2111290359","1658290650"
"2051475919","2220723321"
"2051475919","2142442281"
"2051475919","2089395791"
"2051475919","2027508770"
"2051475919","2009036547"
"2051475919","161674550"
"2044541746","2903747447"
"2044541746","2809525789"
"2044541746","2474345905"
"2044541746","2472246787"
"2044541746","2160739828"
"2044541746","2153358956"
"2044541746","2111696364"
"2044541746","2093359132"
"2044541746","2091029839"
"2044541746","2084870287"
"2044541746","2076930854"
"2044541746","2071801857"
"2044541746","2070436671"
"2044541746","2069868941"
"2044541746","2055458526"
"2044541746","2055086386"
"2044541746","2051443681"
"2044541746","2034309518"
"2044541746","1989396019"
"2044541746","1985791643"
"2044541746","1974712124"
"2044541746","1557815552"
"2044541746","1267057720"
"2061725862","2856784925"
"2061725862","2793198909"
"2061725862","2790373814"
"2061725862","2767761795"
"2061725862","2530176652"
"2061725862","2434468202"
"2061725862","2291312855"
"2061725862","2209841945"
"2061725862","2136020847"
"2061725862","2095534859"
"2061725862","2095176548"
"2061725862","2088044487"
"2061725862","2082107100"
"2061725862","2057539056"
"2061725862","2041718405"
"2061725862","2025701878"
"2061725862","1930426158"
"2016144340","2765368364"
"2016144340","2506011823"
"2016144340","2239978190"
"2016144340","2079390796"
"2016144340","2078123394"
"2016144340","1957883004"
"2135485910","2806184769"
"2135485910","2774868976"
"2135485910","2746070045"
"2135485910","2613329465"
"2135485910","2518344894"
"2135485910","2332150349"
"2135485910","2275944395"
"2135485910","2156850025"
"2135485910","2107545674"
"2135485910","160534009"
"2072182213","2905488054"
"2072182213","2902651510"
"2072182213","2898291704"
"2072182213","2896024727"
"2072182213","2894803216"
"2072182213","2891249304"
"2072182213","2885283408"
"2072182213","2875957400"
"2072182213","2806012053"
"2072182213","2801722167"
"2072182213","2799631697"
"2072182213","2799570094"
"2072182213","2792432827"
"2072182213","2788119423"
"2072182213","2782540689"
"2072182213","2776479767"
"2072182213","2766482797"
"2072182213","2763961697"
"2072182213","2761417032"
"2072182213","2752181393"
"2072182213","2746924568"
"2072182213","2739186969"
"2072182213","2736781196"
"2072182213","2726183150"
"2072182213","2662704302"
"2072182213","2624953712"
"2072182213","2621173488"
"2072182213","2616627655"
"2072182213","2615748800"
"2072182213","2597047090"
"2072182213","2593110037"
"2072182213","2574904711"
"2072182213","2552865176"
"2072182213","2524620595"
"2072182213","2514251649"
"2072182213","2513357761"
"2072182213","2510091332"
"2072182213","2507681704"
"2072182213","2497676916"
"2072182213","2483045366"
"2072182213","2476520016"
"2072182213","2468073694"
"2072182213","2466735557"
"2072182213","2412148058"
"2072182213","2400947317"
"2072182213","2398137172"
"2072182213","2340470622"
"2072182213","2334553583"
"2072182213","2327415861"
"2072182213","2315184304"
"2072182213","2290377737"
"2072182213","2290252308"
"2072182213","2276028463"
"2072182213","2275710823"
"2072182213","2272963746"
"2072182213","2265792856"
"2072182213","2244520359"
"2072182213","2190024092"
"2072182213","2188068503"
"2072182213","2181778884"
"2072182213","2178471959"
"2072182213","2170887595"
"2072182213","2149155847"
"2072182213","2146033260"
"2072182213","2145598367"
"2072182213","2145535121"
"2072182213","2144692353"
"2072182213","2143043008"
"2072182213","2141796772"
"2072182213","2138388537"
"2072182213","2126622095"
"2072182213","2124814129"
"2072182213","2124150875"
"2072182213","2120516750"
"2072182213","2113010907"
"2072182213","2112256138"
"2072182213","2105292964"
"2072182213","2097148950"
"2072182213","2094656162"
"2072182213","2088079527"
"2072182213","2082627618"
"2072182213","2079255755"
"2072182213","2075905046"
"2072182213","2075738961"
"2072182213","2070536559"
"2072182213","2062467218"
"2072182213","2060397062"
"2072182213","2051610798"
"2072182213","2048073809"
"2072182213","2037310863"
"2072182213","2029486687"
"2072182213","2023497249"
"2072182213","2013702079"
"2072182213","2011389824"
"2072182213","2010736081"
"2072182213","2010557196"
"2072182213","2008853312"
"2072182213","2004258687"
"2072182213","1999195906"
"2072182213","1988609313"
"2072182213","1986367403"
"2072182213","1984693836"
"2072182213","1977591881"
"2072182213","1977401594"
"2072182213","1598512166"
"2072182213","1549456807"
"2072182213","1533766273"
"2072182213","1525221866"
"2072182213","1496107807"
"2072182213","1478081461"
"2072182213","1200532980"
"2072182213","1155336300"
"2072182213","993391531"
"2072182213","767067438"
"2072182213","261036034"
"2072182213","128853965"
"2072182213","93660433"
"2072182213","25736059"
"81876773","2166689003"
"81876773","2144023495"
"2061593133","2775040805"
"2061593133","2765740971"
"2061593133","2610269739"
"2061593133","2560562343"
"2061593133","2287988968"
"2061593133","2279933594"
"2061593133","2040474588"
"2061593133","2039616582"
"2061593133","2023690106"
"2061593133","2016650490"
"2061593133","2015214799"
"2061593133","2006556055"
"2004509391","2144800608"
"2004509391","2091335227"
"2004509391","2076650098"
"2004509391","2064802384"
"2004509391","2051005265"
"2004509391","2018893135"
"2004509391","1987453713"
"1555418223","2889255924"
"1555418223","2808191926"
"1555418223","2790388424"
"1555418223","2778734982"
"1555418223","2768318902"
"1555418223","2625305343"
"1555418223","2621842652"
"1555418223","2588888210"
"1555418223","2552104330"
"1555418223","2531761030"
"1555418223","2518049837"
"1555418223","2472926939"
"1555418223","2312935274"
"1555418223","2242090795"
"1555418223","2172606907"
"1555418223","1532181144"
"2173386131","2887490175"
"2173386131","2792220932"
"2173386131","2476341775"
"2078495840","2897495089"
"2078495840","2741552564"
"2078495840","2732289013"
"2078495840","2611941452"
"2078495840","2346828853"
"2078495840","2328128320"
"2078495840","2290201126"
"2078495840","2183840856"
"2078495840","2182024054"
"2078495840","2165970538"
"2078495840","2145994115"
"2078495840","2142302966"
"2078495840","2141648015"
"2078495840","2141266161"
"2078495840","2131154238"
"2078495840","2122963678"
"2078495840","2112418430"
"2078495840","2099404933"
"2078495840","2092303566"
"2078495840","2072973886"
"2078495840","2059666533"
"2078495840","2025017137"
"2078495840","1996308831"
"2078495840","1989089627"
"2078495840","1968665191"
"2078495840","1591175799"
"2078495840","85474192"
"2078495840","8714575"
"2042974200","2892507028"
"2042974200","2803543889"
"2042974200","2785598616"
"2042974200","2292416021"
"2042974200","2288090628"
"2042974200","2091465442"
"2042974200","2082081686"
"2042974200","2072930682"
"2042974200","1966024011"
"2042974200","1811048012"
"2042974200","1588708291"
"2042974200","1525841777"
"2011646959","2090017494"
"2011646959","2062751778"
"2011646959","2057866016"
"2011646959","2029070129"
"2011646959","2004884431"
"2032841931","2907161871"
"2032841931","2905115433"
"2032841931","2905026534"
"2032841931","2904445630"
"2032841931","2901078812"
"2032841931","2895093087"
"2032841931","2890769021"
"2032841931","2889184793"
"2032841931","2888092695"
"2032841931","2886799297"
"2032841931","2809406349"
"2032841931","2800681799"
"2032841931","2794164352"
"2032841931","2793953219"
"2032841931","2791829819"
"2032841931","2791225921"
"2032841931","2781875978"
"2032841931","2774688601"
"2032841931","2769230674"
"2032841931","2767720432"
"2032841931","2766802815"
"2032841931","2766393705"
"2032841931","2765658614"
"2032841931","2762925693"
"2032841931","2760251156"
"2032841931","2754510319"
"2032841931","2754313535"
"2032841931","2752774534"
"2032841931","2751431523"
"2032841931","2741224534"
"2032841931","2729516107"
"2032841931","2726608569"
"2032841931","2621518241"
"2032841931","2618710484"
"2032841931","2615985596"
"2032841931","2603744808"
"2032841931","2599035873"
"2032841931","2593672369"
"2032841931","2593392648"
"2032841931","2583397659"
"2032841931","2575612373"
"2032841931","2566875938"
"2032841931","2563146198"
"2032841931","2560559921"
"2032841931","2518557595"
"2032841931","2512194988"
"2032841931","2503511100"
"2032841931","2483964535"
"2032841931","2482176234"
"2032841931","2464654639"
"2032841931","2404839078"
"2032841931","2338199755"
"2032841931","2325724452"
"2032841931","2307144284"
"2032841931","2289449021"
"2032841931","2204486663"
"2032841931","2165781731"
"2032841931","2126596779"
"2032841931","2125450066"
"2032841931","2115830229"
"2032841931","2088044487"
"2032841931","2080769824"
"2032841931","2066825962"
"2032841931","2064316958"
"2032841931","2061748089"
"2032841931","2060681882"
"2032841931","2057121310"
"2032841931","2053603175"
"2032841931","2048461097"
"2032841931","2021794894"
"2032841931","2008920958"
"2032841931","1991568859"
"2032841931","1983082391"
"2032841931","1975306598"
"2032841931","1973706279"
"2032841931","1972276835"
"2032841931","1968746607"
"2032841931","1966834118"
"2032841931","1964766412"
"2032841931","1659936247"
"2032841931","1639741203"
"2032841931","1605954304"
"2032841931","1523811206"
"2032841931","1500822104"
"2032841931","1488569243"
"2032841931","560688276"
"2054691916","2901294721"
"2054691916","2900470144"
"2054691916","2793460513"
"2054691916","2774337937"
"2054691916","2768378990"
"2054691916","2732289013"
"2054691916","2290837463"
"2054691916","2152818747"
"2054691916","2137502537"
"2054691916","2130813337"
"2054691916","2126015996"
"2054691916","2092391499"
"2054691916","1985849506"
"2054691916","1977401594"
"2054691916","1966630220"
"2054691916","171690214"
"2130545277","2885931142"
"2130545277","2336438191"
"2130545277","2334599129"
"2130545277","2148575703"
"2130545277","2138828952"
"2130545277","2136213468"
"2130545277","2131172307"
"2130545277","2119091082"
"2130545277","2107647639"
"2130545277","2107363066"
"2130545277","2105751335"
"2130545277","2103765984"
"2130545277","2092916413"
"2130545277","2086238241"
"2130545277","2079432766"
"2130545277","2075166327"
"2130545277","2019753053"
"2130545277","1975976911"
"2130545277","1901794552"
"2130545277","1802960032"
"2130545277","1493970632"
"2046999353","2767247082"
"2046999353","2395321218"
"2465026392","2899971037"
"2465026392","2884570838"
"2465026392","2803387181"
"2465026392","2793944726"
"2083227288","2259797599"
"2083227288","2164396802"
"2083227288","2093484674"
"2083227288","2088043338"
"2083227288","2082539945"
"2083227288","2080768956"
"2083227288","2069561046"
"2083227288","2038548455"
"2083227288","2037598628"
"2083227288","2033774002"
"2083227288","1988913677"
"2083227288","1984740127"
"2083227288","1971089034"
"2083227288","1785056906"
"2083227288","916774368"
"2083227288","99927159"
"1495717866","2560018633"
"1495717866","2518491441"
"1495717866","2498799451"
"1495717866","2496714597"
"1495717866","2467668188"
"1495717866","2164063936"
"1495717866","2150128713"
"1495717866","2133837814"
"1495717866","2129037360"
"1495717866","2108150631"
"1495717866","2102182988"
"1495717866","2088333532"
"1495717866","2080499876"
"1495717866","2069734533"
"1495717866","1981836945"
"1495717866","1970996059"
"1495717866","1967193292"
"1495717866","1964158863"
"1495717866","1855332501"
"1495717866","1578860949"
"1495717866","1577194120"
"1495717866","1563990501"
"1495717866","1557481966"
"1495717866","1505158562"
"1495717866","1483381794"
"1495717866","1153851131"
"2111687362","1996448092"
"2111687362","1908453037"
"2439923854","2891465282"
"2439923854","2800029236"
"2439923854","2785984217"
"2439923854","2772575044"
"2439923854","2752176241"
"2439923854","2588648404"
"2439923854","2520618487"
"1661317034","2888989557"
"1965710132","2281739675"
"2231201268","2905435394"
"2231201268","2807973672"
"2231201268","2785823074"
"2231201268","2766265189"
"2231201268","2765459151"
"2231201268","2741809807"
"2231201268","2737712680"
"2231201268","2605124925"
"2231201268","2563251083"
"2231201268","767067438"
"1557739166","2534466472"
"1557739166","2398824982"
"1557739166","2299205023"
"1557739166","2290134431"
"1557739166","2157593229"
"1557739166","2109750964"
"1557739166","2062271181"
"1557739166","1990847522"
"1557739166","1964044091"
"1557739166","116543106"
"2088044170","2732289013"
"2088044170","2343118496"
"2088044170","2167857538"
"2088044170","2162889562"
"2088044170","2154827960"
"2088044170","2103204562"
"2088044170","2095699965"
"2088044170","2059143158"
"2088044170","2028459728"
"2088044170","1983612887"
"2088044170","62390305"
"2121639104","2888503908"
"2121639104","2887029852"
"2121639104","2883713496"
"2121639104","2883440936"
"2121639104","2846311815"
"2121639104","2811004608"
"2121639104","2808816690"
"2121639104","2808333625"
"2121639104","2806184769"
"2121639104","2800568685"
"2121639104","2796820944"
"2121639104","2793721077"
"2121639104","2790202100"
"2121639104","2786118988"
"2121639104","2778896539"
"2121639104","2775516587"
"2121639104","2772413144"
"2121639104","2766466324"
"2121639104","2766195124"
"2121639104","2756237944"
"2121639104","2755069632"
"2121639104","2754287308"
"2121639104","2753946605"
"2121639104","2752914715"
"2121639104","2752500601"
"2121639104","2746085658"
"2121639104","2743941636"
"2121639104","2740955818"
"2121639104","2739066628"
"2121639104","2726580556"
"2121639104","2616830115"
"2121639104","2610990726"
"2121639104","2599745393"
"2121639104","2594740273"
"2121639104","2586045117"
"2121639104","2571046694"
"2121639104","2560553475"
"2121639104","2558041333"
"2121639104","2549336405"
"2121639104","2546787913"
"2121639104","2545813220"
"2121639104","2528823955"
"2121639104","2519875099"
"2121639104","2518715473"
"2121639104","2512106750"
"2121639104","2502912799"
"2121639104","2488172819"
"2121639104","2476760196"
"2121639104","2476479312"
"2121639104","2474020764"
"2121639104","2470213077"
"2121639104","2462109901"
"2121639104","2414371651"
"2121639104","2412472486"
"2121639104","2405175726"
"2121639104","2397239961"
"2121639104","2354307759"
"2121639104","2343030657"
"2121639104","2339648798"
"2121639104","2339426495"
"2121639104","2331677115"
"2121639104","2327609751"
"2121639104","2303693456"
"2121639104","2296628648"
"2121639104","2292059628"
"2121639104","2288017243"
"2121639104","2285916404"
"2121639104","2283043143"
"2121639104","2278204246"
"2121639104","2273777015"
"2121639104","2257913253"
"2121639104","2251519120"
"2121639104","2244864003"
"2121639104","2233415015"
"2121639104","2232401467"
"2121639104","2226871207"
"2121639104","2224314384"
"2121639104","2221742835"
"2121639104","2215538293"
"2121639104","2184610070"
"2121639104","2183798454"
"2121639104","2183635351"
"2121639104","2179974249"
"2121639104","2171511431"
"2121639104","2171339511"
"2121639104","2171283550"
"2121639104","2170440751"
"2121639104","2169948599"
"2121639104","2169360777"
"2121639104","2167249943"
"2121639104","2165547638"
"2121639104","2162567394"
"2121639104","2162131147"
"2121639104","2160053408"
"2121639104","2156551774"
"2121639104","2156460129"
"2121639104","2156422360"
"2121639104","2155597410"
"2121639104","2155595317"
"2121639104","2155436615"
"2121639104","2154827960"
"2121639104","2154412751"
"2121639104","2153671386"
"2121639104","2152818747"
"2121639104","2152331887"
"2121639104","2150607630"
"2121639104","2148847267"
"2121639104","2148451156"
"2121639104","2146918704"
"2121639104","2146647008"
"2121639104","2144266815"
"2121639104","2143283587"
"2121639104","2140200451"
"2121639104","2140115690"
"2121639104","2139736457"
"2121639104","2137049907"
"2121639104","2134921155"
"2121639104","2134861002"
"2121639104","2134252829"
"2121639104","2134153322"
"2121639104","2133445738"
"2121639104","2130490337"
"2121639104","2129860365"
"2121639104","2129488370"
"2121639104","2126079794"
"2121639104","2124293965"
"2121639104","2118536457"
"2121639104","2114876512"
"2121639104","2114082014"
"2121639104","2111464895"
"2121639104","2109635348"
"2121639104","2107481077"
"2121639104","2107351498"
"2121639104","2107220286"
"2121639104","2106114065"
"2121639104","2099032912"
"2121639104","2098944499"
"2121639104","2098456213"
"2121639104","2098367316"
"2121639104","2097697747"
"2121639104","2093636090"
"2121639104","2092358298"
"2121639104","2091392822"
"2121639104","2091013346"
"2121639104","2087769692"
"2121639104","2083227288"
"2121639104","2081990628"
"2121639104","2081724144"
"2121639104","2081515158"
"2121639104","2081098750"
"2121639104","2080768956"
"2121639104","2079124005"
"2121639104","2075962891"
"2121639104","2075937475"
"2121639104","2075792446"
"2121639104","2072919702"
"2121639104","2071434709"
